"created","text","url","latitude","longitude","retweets","favorites","source.r","hashtag","z"
2018-02-18 23:59:04,"Black Panther was unreal<ed><a0><bd><ed><b1><8f><ed><a0><bc><ed><bf><bb><ed><a0><bd><ed><b1><8f><ed><a0><bc><ed><bf><bb><ed><a0><bd><ed><b1><8f><ed><a0><bc><ed><bf><bb><ed><a0><bd><ed><b1><8f><ed><a0><bc><ed><bf><bb> #BlackPanther","https://twitter.com/TanishaHill3/status/965375143278186496",NA,NA,0,2,"IPHONE","#blackpanther",1
2018-02-18 23:59:04,"Just saw the Black Panther with the brothers. #BlackPanther #wakandaforever<e2><9c><8a><ed><a0><bc><ed><bf><bd> https://t.co/0zLChew59Z","https://twitter.com/JessicaMPerla/status/965375140753231872",NA,NA,0,0,NA,"#blackpanther",1
2018-02-18 23:59:03,"Wakanda Forever!!! 
#BlackPanther","https://twitter.com/electricman5454/status/965375139796877312",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:59:03,"I think #blacklighting pretty bad. I gave it chance after chance and its just wack to me. But seeing how amazing an<e2><80><a6> https://t.co/9b1SmVownd","https://twitter.com/Tha_Tee/status/965375137720799233",NA,NA,0,1,"ANDROID","#blackpanther",1
2018-02-18 23:59:00,"And @Google asked me if I was planning to watch Black Panther. No option for I already saw it ;) #BlackPanther https://t.co/LOUkCicke7","https://twitter.com/scribll/status/965375124286464001",NA,NA,0,1,"WEB","#blackpanther",1
2018-02-18 23:58:57,"Hey @dcedwardswrites and any other writers, SyFY is GREAT to write for and they're looking for #BlackPanther stuff! https://t.co/477OyUFcFx","https://twitter.com/BrichibiTweets/status/965375113372819456",NA,NA,0,4,"WEB","#blackpanther",1
2018-02-18 23:58:56,"My reaction when someone asks me if seeing #BlackPanther three times is a ""little excessive"" https://t.co/9zxEpIKvrc","https://twitter.com/RickG_P2PRadio/status/965375108276727808",NA,NA,0,2,"ANDROID","#blackpanther",1
2018-02-18 23:58:55,"50! What did you think of #BlackPanther!!? @50cent","https://twitter.com/pumafanzola/status/965375104539541504",NA,NA,0,0,"WEB","#blackpanther",1
2018-02-18 23:58:55,"Great villain #Killmonger #BlackPanther","https://twitter.com/Jerseyhiphop415/status/965375103130202112",NA,NA,0,0,"ANDROID","#blackpanther",1
2018-02-18 23:58:54,"My dad and stepmother are at private screening for #BlackPanther right now. https://t.co/0GHRkklseu","https://twitter.com/Elladrien/status/965375102526414849",NA,NA,0,0,"ANDROID","#blackpanther",1
2018-02-18 23:58:54,"I really don't understand people who leave before the end of the credits of a Marvel movie.... Just STAY in your se<e2><80><a6> https://t.co/ZlfG4pqMBV","https://twitter.com/JeanneLods/status/965375100450205697",NA,NA,0,1,"WEB","#blackpanther",1
2018-02-18 23:58:51,"My sister went all out for #blackpanther  <ed><a0><be><ed><b4><9f><ed><a0><bc><ed><bf><be> https://t.co/Qr0iWgAQrK","https://twitter.com/iambunnyjones/status/965375087519195136",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:58:50,"Maybe we could get some kind of Wakanda stage show in the parks? A warrior demonstration. Or, a reenactment of T'Ch<e2><80><a6> https://t.co/tEQDsSdw1Z","https://twitter.com/MaPoStormborn/status/965375082595004416",NA,NA,0,5,"ANDROID","#blackpanther",1
2018-02-18 23:58:48,"#BlackPanther was legit, but seriously, though, where is that last Infinity Stone? <ed><a0><be><ed><b4><94>","https://twitter.com/a_train2415/status/965375074017607680",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:58:47,"<e2><80><98>BlackPanther<e2><80><99>
Now available to purchase in prints, apparel, home decor, and more. 
3 alternate versions are also a<e2><80><a6> https://t.co/fKdUvoqBAw","https://twitter.com/jordenestes20/status/965375070834077696",NA,NA,0,1,"IPHONE","#blackpanther",1
